"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0.0615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0692,0
"X3",0,0,0.0581,0,0,0,0,0,0,0,0,0.0663,0,0,0,0,0,0,0,0
"X4",0,0,0,0.0494,0,0,0,0,0,0,0.0538,0.0595,0,0,0.0496,0,0,0,0,0
"X5",0,0,0,0,0.0603,0,0,0,0,0,0,0,0,0,0,0.0558,0,0,0,0
"X6",0,0,0,0,0,0.0557,0,0,0,0,0,0,0,0,0,0,0,0,0.0622,0
"X7",0,0,0,0,0,0,0.0617,0,0,0,0,0,0,0.0631,0,0,0,0,0,0.0584
"X8",0,0,0,0,0,0,0,0.0726,0,0,0.0855,0,0,0,0,0,0,0,0,0
"X9",0,0,0,0,0,0,0,0,0.0742,0,0,0.1702,0,0,0,0,0,0.1045,0,0
"X10",0,0,0,0,0,0,0,0,0,0.0473,0,0,0,0,0,0.0436,0,0,0,0
