"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0.0612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766,0.0956,0
"X3",0,0.1171,0.0721,0,0,0,0,0,0,0,0,0.1036,0,0,0,0,0,0,0,0
"X4",0,0,0,0.0451,0,0,0,0,0,0,0,0.0625,0,0,0.0533,0,0.0601,0,0,0
"X5",0,0,0,0,0.0631,0,0,0,0,0,0,0.0899,0,0,0,0.0629,0,0,0,0
"X6",0,0,0,0,0,0.0745,0,0.0867,0,0,0,0.1077,0,0,0,0,0,0,0.1186,0
"X7",0,0,0,0,0,0,0.0621,0,0,0,0,0,0,0,0,0,0,0,0,0.04
"X8",0,0,0,0,0,0,0,0.0705,0,0,0.0798,0,0,0,0,0,0,0,0,0
"X9",0,0,0,0,0,0,0,0,0.0442,0,0,0,0,0.0431,0,0,0,0.0413,0,0
"X10",0,0,0,0,0,0,0,0,0,0.0434,0,0,0,0,0,0.0461,0,0,0,0
