"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","status"
"BOLD3TRfilt_01",193.0974,120,110,0,0.0606,0.0582,0.9504,0.9687,14400.3298,14058.0111,-6919.0056,0.2658,0.4496,0.5622,0.6309,0.3779,0.4622,0.4858,0.235,0.5506,0.7496,"converged normally"
"BOLD3TRfilt_02",168.421,118,112,0.0016,0.0507,0.0541,0.9624,0.9767,14134.1684,13785.6258,-6780.8129,0.0671,-4.8592,0.6956,0.6112,0.4395,0.4224,0.5126,0.1987,0.5901,0.6063,"converged normally"
"BOLD3TRfilt_03",174.9745,119,111,6e-04,0.0532,0.057,0.9568,0.9729,14198.3651,13852.9345,-6815.4672,0.231,0.3261,0.6578,0.6528,0.4138,0.5437,0.3313,0.3491,0.5154,0.5483,"converged normally"
"BOLD3TRfilt_04",169.1751,117,113,0.0012,0.0518,0.0509,0.9515,0.9701,14264.7036,13913.049,-6843.5245,0.1291,0.4092,0.5141,0.5199,0.4082,0.41,0.3614,0.2514,0.4827,0.6008,"converged normally"
"BOLD3TRfilt_05",159.9993,115,115,0.0035,0.0486,0.0588,0.9512,0.9705,14419.3128,14061.4342,-6915.7171,0.1771,0.2149,0.4705,0.452,0.3681,0.2219,0.3396,0.3962,0.5928,0.5633,"converged normally"
"BOLD3TRfilt_06",185.3092,118,112,1e-04,0.0586,0.0672,0.9536,0.9712,14881.2565,14532.7139,-7154.3569,0.0616,0.5324,0.5989,0.7366,0.3768,0.321,0.4437,0.1864,0.1921,0.7162,"converged normally"
"BOLD3TRfilt_07",175.5029,121,109,9e-04,0.0521,0.0637,0.9519,0.9694,14044.5582,13705.3516,-6743.6758,0.001,0.4061,0.593,0.6545,0.3402,0.4658,0.504,0.195,0.4435,0.4629,"converged normally"
"BOLD3TRfilt_08",165.2836,118,112,0.0027,0.0491,0.0589,0.9564,0.9729,14444.9248,14096.3822,-6936.1911,0.262,0.2081,0.5505,0.4253,0.4357,0.3679,0.4844,0.3803,0.667,0.5549,"converged normally"
"BOLD3TRfilt_09",175.8639,120,110,7e-04,0.053,0.0565,0.9538,0.9708,14108.9818,13766.6631,-6773.3316,0.2041,0.5212,0.5113,0.6902,0.3366,0.5402,0.2853,0.2097,0.5515,0.6042,"converged normally"
"BOLD3TRfilt_10",184.6964,123,107,3e-04,0.055,0.0665,0.9502,0.9678,14338.6897,14005.707,-6895.8535,0.1046,0.3872,0.6112,0.4965,0.2302,0.4721,0.3763,0.3969,0.465,0.6824,"converged normally"
"BOLD3TRfilt_11",178.3625,120,110,4e-04,0.0541,0.0713,0.9501,0.9685,14577.1285,14234.8098,-7007.4049,0.1715,0.2943,0.5791,0.0254,0.4352,0.4529,0.3427,0.2579,0.6026,0.7064,"converged normally"
"BOLD3TRfilt_12",182.0445,114,116,1e-04,0.06,0.065,0.9544,0.9727,14653.1324,14292.1418,-7030.0709,0.062,0.6888,0.5604,0.6819,0.4104,0.6281,0.4081,0.1943,0.7366,0.6397,"converged normally"
"BOLD3TRfilt_13",172.9971,114,116,3e-04,0.0558,0.0564,0.953,0.9718,14009.9075,13648.9169,-6708.4585,0.0974,0.4535,0.6229,0.6456,0.292,0.6956,0.3667,0.3103,0.5201,0.5093,"converged normally"
"BOLD3TRfilt_14",179.4047,117,113,2e-04,0.0567,0.0616,0.9551,0.9723,14215.9693,13864.3146,-6819.1573,0.3209,0.3952,0.6035,0.5882,0.3293,0.4586,0.5735,0.2899,0.28,0.6156,"converged normally"
"BOLD3TRfilt_15",149.1569,110,120,0.0077,0.0463,0.0512,0.9567,0.9749,14565.5495,14192.1109,-6976.0555,0.3339,0.3457,0.5173,0.6032,0.2788,0.3446,0.4229,0.1511,0.3395,0.5337,"converged normally"
"BOLD3TRfilt_16",161.8894,120,110,0.0065,0.0459,0.0566,0.9572,0.973,14593.2621,14250.9435,-7015.4717,0.0617,0.3935,0.4659,0.5527,0.2315,0.4847,0.3867,0.1926,0.5975,0.5389,"converged normally"
"BOLD3TRfilt_17",188.4533,121,109,1e-04,0.058,0.0621,0.9514,0.969,13909.489,13570.2823,-6676.1411,0.0035,0.4602,0.5741,0.636,0.4708,0.4009,0.3352,0.2028,0.7168,0.6772,"converged normally"
"BOLD3TRfilt_18",187.4227,122,108,1e-04,0.0568,0.0631,0.9609,0.9749,14349.0442,14012.9495,-6898.4747,0.0352,0.3956,0.6924,0.7685,0.5516,0.5096,0.495,0.2261,0.6517,0.6675,"converged normally"
"BOLD3TRfilt_19",171.1513,118,112,0.001,0.0521,0.0597,0.9512,0.9697,14115.5639,13767.0213,-6771.5106,0.0084,0.4029,0.6601,0.4463,0.3504,0.446,0.2818,0.46,0.5269,0.6263,"converged normally"
"BOLD3TRfilt_20",173.6353,115,115,3e-04,0.0554,0.0557,0.9561,0.9734,14183.5567,13825.6781,-6797.839,0.3501,0.4777,0.6351,0.6136,0.3278,0.5562,0.2759,0.4014,0.6774,0.6161,"converged normally"
"BOLD3TRfilt_21",184.3138,119,111,1e-04,0.0575,0.0577,0.9566,0.9728,14169.4558,13824.0251,-6801.0126,0.2154,0.4888,0.6094,0.5896,0.4773,0.4611,0.4597,0.1643,0.4682,0.7193,"converged normally"
"BOLD3TRfilt_22",189.2859,120,110,1e-04,0.059,0.072,0.9546,0.9713,14503.4264,14161.1078,-6970.5539,0.129,0.5104,0.6928,0.6696,0.4065,0.5084,0.4399,0.0544,0.6276,0.6841,"converged normally"
"BOLD3TRfilt_23",163.0518,120,110,0.0055,0.0465,0.0585,0.956,0.9722,14772.508,14430.1893,-7105.0947,0.2287,0.2061,0.4502,0.497,0.3011,0.4054,0.3592,0.215,0.5026,0.4403,"converged normally"
"BOLD3TRfilt_24",163.6492,119,111,0.0042,0.0475,0.0705,0.9581,0.9738,14446.7201,14101.2895,-6939.6447,0.0033,0.4399,0.5967,0.6497,0.2359,0.3853,0.4347,0.1252,0.5687,0.5822,"converged normally"
"BOLD3TRfilt_25",169.6419,116,114,9e-04,0.0528,0.0522,0.9555,0.9728,14337.5395,13982.7729,-6877.3865,0.0147,0.2923,0.6566,0.5901,0.4146,0.4348,0.4685,0.2568,0.5965,0.6065,"converged normally"
"BOLD3TRfilt_26",182.7137,119,111,2e-04,0.0568,0.0584,0.9533,0.9707,14634.8352,14289.4045,-7033.7023,0.2831,0.3077,0.6265,0.654,0.5065,0.5491,0.5335,0.2908,0.3834,0.6661,"converged normally"
"BOLD3TRfilt_27",220.6953,121,109,0,0.0705,0.0624,0.9045,0.9392,14347.2002,14007.9935,-6894.9968,0.1308,0.2705,0.5423,0.302,0.3983,0.4814,0.2981,0.1802,0.3762,0.3575,"last known convergence"
"BOLD3TRfilt_28",179.2306,120,110,4e-04,0.0545,0.0563,0.9517,0.9695,14198.2342,13855.9155,-6817.9578,0.1696,0.3262,0.6473,0.6144,0.2898,0.3829,0.4351,0.2712,0.6204,0.5028,"converged normally"
"BOLD3TRfilt_29",183.8037,117,113,1e-04,0.0586,0.064,0.9513,0.97,14165.5897,13813.9351,-6793.9676,0.1782,0.2551,0.7002,0.492,-2.2666,0.4561,0.3335,0.4966,0.5663,0.6662,"converged normally"
"BOLD3TRfilt_30",180.0349,118,112,2e-04,0.0563,0.0611,0.9525,0.9705,14235.3905,13886.8479,-6831.4239,0.2506,0.4291,0.6921,0.5757,0.3741,0.5712,0.4238,0.0135,0.5731,0.4994,"converged normally"
"BOLD3TRfilt_31",190.1716,120,110,0,0.0594,0.0558,0.9548,0.9714,14428.1692,14085.8506,-6932.9253,0.2822,0.5306,0.6874,0.7016,0.3674,0.5539,0.2703,0.2259,0.6669,0.0737,"converged normally"
"BOLD3TRfilt_32",167.3251,117,113,0.0016,0.0509,0.0565,0.956,0.9729,14356.338,14004.6834,-6889.3417,0.2426,0.5407,0.5786,0.6684,0.4634,0.3474,0.1561,0.2578,0.4519,0.6074,"converged normally"
